2016-01-01  02     -98.3
2016-01-20  15     -54.7
2016-02-01  02     -54.8
2016-02-03  05     -52.4
2016-02-08  02     -53.2
2016-02-16  20     -52.6
2016-02-17  20     -52.6
2016-03-06  20     -75.5
2016-03-15  23     -54.1
2016-04-02  22     -57.5
2016-04-07  23     -60.1
2016-04-08  01     -61.3
2016-04-12  23     -51.7
2016-05-01  19     -58.3
2016-05-02  20     -51.8
2016-05-08  03     -51.3
2016-05-09  23     -55.1
2016-08-23  19     -53.8
2016-08-24  01     -58.8
2016-09-01  22     -53.8
2016-09-02  00     -52.1
2016-09-03  20     -64.6
2016-09-04  00     -53.1
2016-09-20  02     -53.7
2016-09-28  18     -59.8
2016-09-29  15     -60.0
2016-10-04  02     -51.9
2016-10-13  15     -61.0
2016-10-14  04     -59.4
2016-10-25  21     -58.4
2016-10-26  00     -53.0
2016-10-27  17     -55.1
2016-10-28  21     -52.2
2016-10-29  03     -61.4
2016-11-24  23     -50.2
2016-11-25  00     -51.5
2016-12-09  19     -53.9
2016-12-21  16     -61.9
2016-12-23  20     -61.6
2017-02-01  00     -50.4
2017-02-18  02     -53.8
2017-03-01  23     -56.3
2017-03-02  00     -54.5
2017-03-04  22     -50.4
2017-03-06  20     -51.3
2017-03-27  21     -54.3
2017-03-28  02     -58.3
2017-04-22  23     -70.7
2017-04-23  16     -51.2
2017-05-10  17    -235.3
2017-05-27  23     -71.3
2017-05-28  08     -51.8
2017-07-16  18     -55.1
2017-07-17  02     -53.4
2017-08-31  19     -60.8
2017-09-07  22     -62.9
2017-09-08  13     -50.5
2017-09-09  13     -51.0
2017-09-13  00     -85.6
2017-09-27  23     -52.8
2017-09-28  03     -60.9
2017-10-13  20     -56.3
2017-10-14  00     -77.5
2017-11-07  23     -62.2
2017-11-08  22     -55.3
2018-03-10  03     -50.2
2018-03-18  19     -52.5
2018-03-19  00     -52.5
2018-04-20  08     -54.3
2018-05-05  22     -61.2
2018-05-06  00     -71.4
2018-06-18  02     -51.1
2018-06-25  23     -60.9
2018-06-26  00     -56.4
2018-08-25  21     -51.4
2018-08-26  19     -50.9
2018-08-27  06     -50.0
2018-09-05  02     -50.1
2018-09-10  23     -60.3
2018-09-11  17     -53.5
2018-09-22  02     -63.7
2018-10-07  20     -67.9
2018-10-10  20     -50.5
2019-01-31  22     -54.0
2019-05-11  01     -51.2
2019-08-05  16     -51.3
2019-08-31  23     -50.2
2019-09-01  15     -52.7
2019-09-02  01     -58.0
2019-09-05  03     -53.5
2019-09-27  23     -58.0
2019-10-26  18     -52.5
2020-02-19  04     -55.1
2020-03-31  01     -51.3
2020-07-14  03     -52.1
2020-07-24  23     -53.4
2020-07-25  02     -52.5
2003-05-01  01     -83.4
2003-05-10  01     -55.3
2003-05-22  00     -63.2
2003-05-29  18     -55.9
2003-05-30  16     -50.1
2003-05-31  06     -51.2
